Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,566165,1066165,10000.0,2025-02-20,1
2,306401,806401,10000.0,2025-06-14,1
3,776614,1276614,10000.0,2025-04-07,1
4,715273,1215273,10000.0,2025-02-06,1
5,283524,783524,10000.0,2025-02-27,1
6,876672,1376672,10000.0,2025-05-21,1
7,285914,785914,10000.0,2025-01-20,1
8,830487,1330487,10000.0,2025-04-21,1
9,273733,773733,10000.0,2025-04-14,1
10,507894,1007894,10000.0,2025-10-21,1
11,228320,728320,10000.0,2025-04-07,1
12,713087,1213087,10000.0,2025-12-14,1
13,591077,1091077,10000.0,2025-02-06,1
14,85809,585809,10000.0,2025-04-21,1
15,800504,1300504,10000.0,2025-05-14,1
16,969267,1469267,10000.0,2025-01-13,1
17,308505,808505,10000.0,2025-04-28,1
18,226449,726449,10000.0,2025-07-21,1
19,782789,1282789,10000.0,2025-05-14,1
20,858087,1358087,10000.0,2025-05-28,1
21,581166,1081166,10000.0,2025-09-07,1
22,564609,1064609,10000.0,2025-01-06,1
23,864522,1364522,10000.0,2025-09-28,1
24,958287,1458287,10000.0,2025-06-21,1
25,719170,1219170,10000.0,2025-10-28,1
26,994441,1494441,10000.0,2025-11-07,1
27,479876,979876,10000.0,2025-07-21,1
28,224561,724561,10000.0,2025-01-20,1
29,638320,1138320,10000.0,2025-06-21,1
30,827577,1327577,10000.0,2025-02-06,1
31,650611,1150611,10000.0,2025-03-21,1
32,545233,1045233,10000.0,2025-04-14,1
33,143922,643922,10000.0,2025-07-07,1
34,576764,1076764,10000.0,2025-10-28,1
35,773984,1273984,10000.0,2025-09-21,1
36,143860,643860,10000.0,2025-12-14,1
37,135890,635890,10000.0,2025-01-20,1
38,843126,1343126,10000.0,2025-06-07,1
39,105107,605107,10000.0,2025-03-28,1
40,6250,506250,10000.0,2025-06-28,1
41,279842,779842,10000.0,2025-12-14,1
42,592862,1092862,10000.0,2025-10-28,1
43,288257,788257,10000.0,2025-03-07,1
44,4711,504711,10000.0,2025-07-21,1
45,887178,1387178,10000.0,2025-09-21,1
46,515752,1015752,10000.0,2025-03-14,1
47,903550,1403550,10000.0,2025-01-20,1
48,734824,1234824,10000.0,2025-12-14,1
49,177999,677999,10000.0,2025-08-21,1
50,983607,1483607,10000.0,2025-01-06,1
51,494354,994354,10000.0,2025-11-21,1
52,425566,925566,10000.0,2025-12-21,1
53,427483,927483,10000.0,2025-11-07,1
54,299879,799879,10000.0,2025-12-14,1
55,981337,1481337,10000.0,2025-10-28,1
56,845840,1345840,10000.0,2025-03-07,1
57,223192,723192,10000.0,2025-04-07,1
58,289036,789036,10000.0,2025-11-28,1
59,943579,1443579,10000.0,2025-11-21,1
60,616548,1116548,10000.0,2025-03-21,1
61,256904,756904,10000.0,2025-05-21,1
62,180972,680972,10000.0,2025-10-14,1
63,345525,845525,10000.0,2025-08-07,1
64,725723,1225723,10000.0,2025-07-28,1
65,708461,1208461,10000.0,2025-05-14,1
66,442701,942701,10000.0,2025-09-07,1
67,63765,563765,10000.0,2025-11-21,1
68,220030,720030,10000.0,2025-11-21,1
69,303170,803170,10000.0,2025-08-28,1
70,978506,1478506,10000.0,2025-06-07,1
71,290951,790951,10000.0,2025-10-21,1
72,107089,607089,10000.0,2025-10-28,1
73,129289,629289,10000.0,2025-02-27,1
74,694307,1194307,10000.0,2025-01-20,1
75,299512,799512,10000.0,2025-06-21,1
76,743457,1243457,10000.0,2025-05-07,1
77,302314,802314,10000.0,2025-12-28,1
78,209759,709759,10000.0,2025-12-28,1
79,547496,1047496,10000.0,2025-06-21,1
80,927961,1427961,10000.0,2025-12-28,1
81,560377,1060377,10000.0,2025-07-07,1
82,883772,1383772,10000.0,2025-04-14,1
83,291563,791563,10000.0,2025-08-07,1
84,599648,1099648,10000.0,2025-11-28,1
85,852636,1352636,10000.0,2025-05-28,1
86,766911,1266911,10000.0,2025-03-14,1
87,278388,778388,10000.0,2025-07-07,1
88,510275,1010275,10000.0,2025-03-14,1
89,375575,875575,10000.0,2025-08-07,1
90,637153,1137153,10000.0,2025-04-28,1
91,460772,960772,10000.0,2025-11-28,1
92,191492,691492,10000.0,2025-09-07,1
93,681781,1181781,10000.0,2025-11-28,1
94,979966,1479966,10000.0,2025-04-14,1
95,443135,943135,10000.0,2025-09-14,1
96,49216,549216,10000.0,2025-01-13,1
97,521659,1021659,10000.0,2025-08-14,1
98,992593,1492593,10000.0,2025-07-28,1
99,234944,734944,10000.0,2025-12-07,1
100,41455,541455,10000.0,2025-03-21,1
101,584573,1084573,10000.0,2025-05-21,1
102,159236,659236,10000.0,2025-06-21,1
103,223984,723984,10000.0,2025-09-21,1
104,726548,1226548,10000.0,2025-07-21,1
105,358810,858810,10000.0,2025-09-28,1
106,487472,987472,10000.0,2025-05-07,1
107,391817,891817,10000.0,2025-01-20,1
108,647845,1147845,10000.0,2025-10-14,1
109,958143,1458143,10000.0,2025-10-07,1
110,496846,996846,10000.0,2025-08-14,1
111,662290,1162290,10000.0,2025-12-28,1
112,920625,1420625,10000.0,2025-04-14,1
113,562661,1062661,10000.0,2025-02-06,1
114,391768,891768,10000.0,2025-08-28,1
115,559703,1059703,10000.0,2025-04-21,1
116,600601,1100601,10000.0,2025-05-21,1
117,841087,1341087,10000.0,2025-04-28,1
118,65103,565103,10000.0,2025-12-07,1
119,607900,1107900,10000.0,2025-02-20,1
120,652823,1152823,10000.0,2025-11-21,1
121,695226,1195226,10000.0,2025-11-28,1
122,108757,608757,10000.0,2025-06-14,1
123,851932,1351932,10000.0,2025-08-21,1
124,952324,1452324,10000.0,2025-11-14,1
125,246907,746907,10000.0,2025-11-07,1
126,242939,742939,10000.0,2025-04-14,1
127,800055,1300055,10000.0,2025-01-20,1
128,986183,1486183,10000.0,2025-12-14,1
129,226860,726860,10000.0,2025-04-07,1
130,90755,590755,10000.0,2025-01-20,1
131,791734,1291734,10000.0,2025-11-14,1
132,544096,1044096,10000.0,2025-12-28,1
133,437095,937095,10000.0,2025-05-07,1
134,229384,729384,10000.0,2025-04-07,1
135,153969,653969,10000.0,2025-07-28,1
136,166049,666049,10000.0,2025-04-07,1
137,598555,1098555,10000.0,2025-07-28,1
138,544795,1044795,10000.0,2025-01-27,1
139,668765,1168765,10000.0,2025-06-07,1
140,945410,1445410,10000.0,2025-02-13,1
141,154334,654334,10000.0,2025-12-07,1
142,393078,893078,10000.0,2025-12-14,1
143,690319,1190319,10000.0,2025-02-20,1
144,993113,1493113,10000.0,2025-07-07,1
145,208634,708634,10000.0,2025-12-28,1
146,56036,556036,10000.0,2025-09-07,1
147,924908,1424908,10000.0,2025-03-14,1
148,720966,1220966,10000.0,2025-07-28,1
149,349109,849109,10000.0,2025-07-28,1
150,5093,505093,10000.0,2025-11-14,1
151,278417,778417,10000.0,2025-05-28,1
152,696449,1196449,10000.0,2025-01-13,1
153,247187,747187,10000.0,2025-07-21,1
154,41970,541970,10000.0,2025-07-14,1
155,720983,1220983,10000.0,2025-09-14,1
156,372700,872700,10000.0,2025-03-21,1
157,277177,777177,10000.0,2025-11-14,1
158,431674,931674,10000.0,2025-01-06,1
159,168752,668752,10000.0,2025-11-14,1
160,673257,1173257,10000.0,2025-04-07,1
161,974818,1474818,10000.0,2025-11-21,1
162,444460,944460,10000.0,2025-11-21,1
163,196425,696425,10000.0,2025-06-21,1
164,300481,800481,10000.0,2025-12-14,1
165,754722,1254722,10000.0,2025-05-28,1
166,894870,1394870,10000.0,2025-07-28,1
167,14123,514123,10000.0,2025-02-13,1
168,127568,627568,10000.0,2025-07-14,1
169,683397,1183397,10000.0,2025-07-28,1
170,510511,1010511,10000.0,2025-11-21,1
171,287965,787965,10000.0,2025-12-28,1
172,728338,1228338,10000.0,2025-05-07,1
173,53620,553620,10000.0,2025-10-28,1
174,612340,1112340,10000.0,2025-08-07,1
175,990368,1490368,10000.0,2025-03-21,1
176,896053,1396053,10000.0,2025-05-07,1
177,820542,1320542,10000.0,2025-03-28,1
